[2025-08-03 17:17:09,301: INFO: main: Welcome to our custom log]
[2025-08-03 17:17:13,593: INFO: main: Welcome to our custom log]
[2025-09-13 14:54:50,693: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-13 14:54:50,705: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-13 14:55:30,915: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-13 14:55:30,917: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-13 14:57:44,087: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-13 14:57:44,089: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-13 14:57:44,090: INFO: common: created directory at: artifacts]
[2025-09-13 14:57:44,091: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-13 14:57:44,091: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1j1RLGklpFppjWSU58w1oAVASIJPQ01Hm/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-13 14:59:25,335: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1j1RLGklpFppjWSU58w1oAVASIJPQ01Hm/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-13 15:12:03,675: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-09-13 15:12:03,677: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-13 15:12:03,677: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-13 15:12:03,678: INFO: common: created directory at: artifacts]
[2025-09-13 15:12:03,678: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-13 15:12:03,678: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1j1RLGklpFppjWSU58w1oAVASIJPQ01Hm/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-13 15:13:29,205: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1j1RLGklpFppjWSU58w1oAVASIJPQ01Hm/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-13 15:13:43,674: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
